,repeat,first_char
0,0,12
1,0,12
2,0,7
3,0,8
4,1,2
5,0,9
6,0,4
7,0,15
8,1,0
9,1,4
10,0,11
11,0,19
12,0,18
13,0,19
14,0,2
15,0,17
16,1,20
17,0,18
18,1,0
19,0,13
20,1,10
21,0,1
22,0,8
23,0,9
24,0,0
25,0,22
26,0,0
27,1,19
28,0,2
29,1,4
30,0,18
31,1,20
32,0,19
33,1,7
34,0,8
35,0,5
36,0,3
37,0,15
38,0,0
39,0,1
40,0,0
41,0,6
42,1,19
43,0,1
44,0,18
45,0,12
46,1,8
47,0,21
48,0,12
49,0,20
50,0,17
51,1,18
52,0,1
53,0,18
54,0,3
55,1,15
56,0,0
57,0,8
58,0,15
59,0,0
60,0,22
61,1,11
62,0,18
63,1,2
64,0,5
65,1,5
66,0,5
67,2,12
68,0,18
69,0,6
70,0,3
71,0,16
72,0,4
73,0,18
74,0,18
75,1,2
76,1,5
77,0,4
78,1,8
79,0,21
80,0,4
81,0,7
82,0,21
83,1,3
84,0,18
85,0,12
86,0,1
87,0,18
88,0,19
89,1,11
90,0,18
91,0,18
92,1,20
93,1,18
94,0,1
95,0,0
96,0,6
97,0,6
98,0,18
99,0,17
100,0,0
101,0,19
102,0,18
103,0,2
104,0,3
105,0,19
106,1,0
107,1,1
108,1,19
109,0,11
110,1,19
111,1,2
112,1,11
113,1,19
114,1,22
115,0,8
116,1,6
117,0,2
118,0,5
119,0,15
120,0,14
121,0,2
122,0,6
123,1,17
124,0,8
125,0,2
126,1,13
127,0,22
128,0,12
129,0,22
130,1,19
131,0,18
132,0,19
133,0,19
134,0,6
135,0,15
136,1,10
137,0,7
138,1,11
139,0,6
140,0,2
141,1,15
142,0,20
143,0,18
144,0,0
145,1,1
146,0,17
147,0,24
148,1,2
149,0,16
150,0,2
151,1,1
152,0,20
153,0,18
154,2,12
155,1,2
156,1,4
157,0,15
158,0,12
159,1,19
160,0,0
161,1,19
162,0,0
163,0,5
164,0,22
165,1,17
166,1,22
167,0,11
168,0,1
169,0,13
170,2,12
171,0,1
172,0,18
173,0,21
174,1,0
175,2,5
176,0,5
177,1,18
178,1,11
179,1,4
180,0,15
181,1,7
182,0,6
183,1,3
184,1,17
185,0,17
186,0,1
187,0,18
188,0,1
189,0,0
190,0,6
191,0,8
192,0,11
193,2,2
194,0,1
195,0,0
196,0,15
197,0,0
198,1,3
199,0,5
200,1,6
201,0,15
202,0,6
203,1,19
204,1,5
205,1,6
206,0,3
207,0,5
208,0,15
209,0,18
210,0,2
211,0,12
212,1,0
213,0,1
214,0,2
215,1,19
216,1,0
217,0,21
218,0,0
219,0,7
220,0,12
221,0,18
222,0,6
223,1,6
224,0,18
225,0,1
226,1,3
227,0,24
228,0,12
229,0,19
230,0,18
231,0,5
232,0,6
233,0,18
234,1,2
235,0,12
236,0,1
237,0,7
238,0,19
239,0,7
240,0,18
241,1,5
242,1,11
243,0,25
244,0,18
245,0,7
246,0,0
247,0,8
248,0,14
249,0,15
250,0,14
251,0,2
252,0,5
253,0,5
254,0,0
255,1,2
256,0,18
257,0,12
258,0,2
259,0,17
260,0,18
261,0,1
262,0,18
263,0,18
264,0,5
265,1,2
266,1,13
267,0,18
268,1,5
269,0,19
270,0,18
271,1,11
272,0,18
273,1,18
274,0,5
275,0,13
276,0,4
277,0,3
278,0,2
279,0,15
280,1,18
281,0,19
282,1,17
283,1,0
284,0,18
285,0,12
286,0,2
287,1,19
288,0,18
289,0,5
290,0,19
291,0,22
292,0,11
293,0,12
294,1,18
295,0,7
296,0,2
297,0,1
298,1,0
299,0,12
300,0,13
301,1,17
302,0,2
303,0,2
304,1,18
305,2,21
306,0,1
307,0,19
308,0,19
309,0,14
310,1,19
311,1,18
312,1,3
313,0,18
314,0,2
315,1,0
316,1,2
317,0,17
318,0,20
319,0,20
320,0,15
321,0,7
322,0,5
323,1,4
324,1,18
325,0,0
326,0,15
327,0,18
328,0,12
329,0,19
330,0,11
331,0,22
332,0,2
333,0,15
334,0,12
335,0,22
336,0,18
337,1,10
338,0,2
339,0,22
340,0,15
341,1,17
342,0,15
343,0,15
344,0,18
345,0,18
346,0,15
347,0,19
348,1,0
349,0,5
350,0,3
351,0,16
352,1,6
353,0,2
354,0,18
355,2,4