,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
0,0.0,0.02,0.17,0.37,0.29,0.12,0.02
1,0.0,0.04,0.21,0.38,0.26,0.09,0.01
2,0.0,0.02,0.16,0.38,0.3,0.12,0.02
3,0.0,0.03,0.21,0.4,0.25,0.09,0.01
4,0.0,0.02,0.17,0.35,0.29,0.14,0.03
5,0.0,0.02,0.08,0.16,0.26,0.33,0.14
6,0.01,0.05,0.2,0.35,0.28,0.1,0.01
7,0.02,0.11,0.34,0.32,0.15,0.06,0.01
8,0.0,0.07,0.26,0.35,0.2,0.1,0.03
9,0.0,0.01,0.13,0.34,0.34,0.15,0.02
10,0.0,0.05,0.32,0.4,0.17,0.04,0.0
11,0.01,0.1,0.47,0.32,0.09,0.02,0.0
12,0.06,0.14,0.33,0.27,0.13,0.05,0.01
13,0.0,0.08,0.28,0.3,0.2,0.11,0.03
14,0.0,0.07,0.39,0.38,0.13,0.03,0.0
15,0.0,0.07,0.27,0.35,0.22,0.08,0.01
16,0.0,0.03,0.2,0.39,0.27,0.1,0.01
17,0.0,0.06,0.31,0.38,0.19,0.05,0.0
18,0.0,0.05,0.28,0.38,0.22,0.07,0.01
19,0.01,0.07,0.24,0.32,0.24,0.11,0.01
20,0.0,0.03,0.18,0.43,0.27,0.08,0.01
21,0.0,0.1,0.36,0.35,0.14,0.03,0.0
22,0.0,0.03,0.19,0.33,0.26,0.14,0.03
23,0.0,0.06,0.29,0.34,0.21,0.08,0.02
24,0.0,0.06,0.22,0.33,0.24,0.12,0.03
25,0.0,0.02,0.1,0.25,0.36,0.23,0.04
26,0.02,0.17,0.32,0.29,0.15,0.05,0.01
27,0.0,0.04,0.35,0.36,0.17,0.06,0.01
28,0.0,0.06,0.3,0.33,0.19,0.09,0.02
29,0.0,0.02,0.11,0.35,0.36,0.14,0.02
30,0.0,0.06,0.3,0.33,0.19,0.1,0.02
31,0.0,0.03,0.19,0.35,0.29,0.13,0.02
32,0.0,0.1,0.38,0.35,0.13,0.03,0.0
33,0.0,0.06,0.28,0.39,0.19,0.06,0.01
34,0.0,0.08,0.28,0.4,0.18,0.05,0.01
35,0.05,0.13,0.25,0.27,0.19,0.1,0.02
36,0.01,0.12,0.32,0.3,0.18,0.06,0.01
37,0.01,0.1,0.26,0.32,0.21,0.09,0.01
38,0.0,0.05,0.19,0.33,0.27,0.13,0.03
39,0.01,0.06,0.17,0.27,0.27,0.18,0.05
40,0.0,0.07,0.26,0.35,0.22,0.09,0.01
41,0.0,0.02,0.23,0.49,0.2,0.05,0.01
42,0.0,0.14,0.35,0.33,0.14,0.04,0.0
43,0.0,0.05,0.16,0.23,0.24,0.22,0.1
44,0.0,0.05,0.21,0.31,0.24,0.15,0.04
45,0.01,0.06,0.26,0.36,0.21,0.08,0.01
46,0.0,0.08,0.25,0.3,0.21,0.13,0.03
47,0.0,0.04,0.22,0.38,0.25,0.09,0.01
48,0.0,0.05,0.25,0.38,0.23,0.08,0.01
49,0.01,0.11,0.31,0.33,0.18,0.05,0.01
50,0.01,0.16,0.38,0.31,0.11,0.03,0.01
51,0.0,0.04,0.24,0.37,0.24,0.09,0.01
52,0.0,0.06,0.26,0.36,0.23,0.07,0.01
53,0.02,0.19,0.3,0.27,0.15,0.06,0.02
54,0.05,0.14,0.31,0.29,0.15,0.04,0.01
55,0.0,0.05,0.34,0.43,0.15,0.03,0.0
56,0.01,0.18,0.31,0.3,0.15,0.04,0.01
57,0.0,0.06,0.3,0.39,0.2,0.06,0.01
58,0.0,0.01,0.14,0.37,0.33,0.14,0.02
59,0.0,0.03,0.26,0.41,0.23,0.07,0.01
60,0.0,0.02,0.11,0.29,0.35,0.19,0.03
61,0.0,0.03,0.15,0.32,0.32,0.16,0.02
62,0.0,0.07,0.28,0.36,0.21,0.07,0.01
63,0.0,0.04,0.22,0.35,0.24,0.12,0.03
64,0.0,0.06,0.28,0.37,0.21,0.07,0.01
65,0.0,0.02,0.13,0.35,0.32,0.15,0.03
66,0.0,0.07,0.27,0.35,0.22,0.08,0.01
67,0.0,0.01,0.04,0.14,0.27,0.37,0.18
68,0.0,0.07,0.32,0.36,0.19,0.06,0.01
69,0.0,0.04,0.18,0.3,0.28,0.17,0.03
70,0.0,0.05,0.29,0.4,0.2,0.05,0.0
71,0.0,0.03,0.23,0.39,0.24,0.09,0.02
72,0.0,0.05,0.24,0.38,0.23,0.08,0.01
73,0.01,0.12,0.34,0.32,0.16,0.05,0.01
74,0.01,0.08,0.29,0.36,0.19,0.06,0.01
75,0.0,0.07,0.18,0.2,0.15,0.16,0.23
76,0.0,0.03,0.23,0.44,0.24,0.06,0.0
77,0.0,0.05,0.23,0.35,0.25,0.11,0.02
78,0.0,0.02,0.13,0.25,0.28,0.21,0.11
79,0.0,0.04,0.28,0.38,0.21,0.08,0.01
80,0.0,0.03,0.12,0.29,0.33,0.2,0.03
81,0.0,0.02,0.13,0.32,0.32,0.17,0.04
82,0.0,0.02,0.15,0.35,0.31,0.14,0.02
83,0.0,0.02,0.11,0.23,0.29,0.24,0.11
84,0.01,0.1,0.38,0.34,0.13,0.03,0.0
85,0.0,0.09,0.3,0.35,0.19,0.06,0.01
86,0.0,0.03,0.17,0.35,0.28,0.13,0.03
87,0.01,0.1,0.3,0.33,0.18,0.08,0.02
88,0.0,0.06,0.28,0.4,0.2,0.05,0.01
89,0.0,0.04,0.16,0.34,0.31,0.12,0.01
90,0.0,0.08,0.31,0.35,0.2,0.06,0.01
91,0.0,0.04,0.23,0.36,0.24,0.11,0.02
92,0.0,0.03,0.21,0.38,0.26,0.09,0.01
93,0.0,0.02,0.18,0.38,0.28,0.11,0.02
94,0.0,0.05,0.23,0.38,0.24,0.07,0.01
95,0.0,0.1,0.25,0.34,0.22,0.08,0.01
96,0.01,0.14,0.29,0.28,0.16,0.08,0.03
97,0.0,0.06,0.3,0.39,0.19,0.05,0.0
98,0.01,0.14,0.35,0.29,0.15,0.05,0.01
99,0.0,0.05,0.3,0.35,0.21,0.08,0.01
100,0.0,0.06,0.2,0.33,0.27,0.12,0.02
101,0.0,0.05,0.24,0.25,0.18,0.17,0.11
102,0.01,0.09,0.36,0.35,0.14,0.04,0.0
103,0.0,0.11,0.37,0.36,0.12,0.03,0.0
104,0.0,0.0,0.04,0.11,0.15,0.22,0.48
105,0.01,0.12,0.32,0.34,0.16,0.04,0.0
106,0.01,0.05,0.24,0.41,0.23,0.05,0.0
107,0.0,0.03,0.19,0.4,0.28,0.09,0.01
108,0.0,0.01,0.07,0.27,0.38,0.23,0.04
109,0.0,0.01,0.14,0.4,0.3,0.12,0.02
110,0.0,0.04,0.19,0.34,0.27,0.13,0.03
111,0.0,0.08,0.29,0.4,0.18,0.04,0.0
112,0.0,0.04,0.21,0.32,0.22,0.13,0.07
113,0.0,0.03,0.17,0.37,0.28,0.12,0.02
114,0.0,0.04,0.19,0.27,0.21,0.16,0.13
115,0.0,0.01,0.16,0.47,0.29,0.07,0.01
116,0.0,0.06,0.25,0.36,0.23,0.08,0.01
117,0.0,0.01,0.09,0.27,0.31,0.25,0.07
118,0.01,0.12,0.32,0.34,0.16,0.05,0.01
119,0.0,0.02,0.18,0.41,0.28,0.09,0.01
120,0.0,0.05,0.12,0.2,0.32,0.26,0.05
121,0.0,0.04,0.29,0.4,0.21,0.06,0.01
122,0.01,0.06,0.32,0.38,0.18,0.05,0.0
123,0.0,0.02,0.11,0.24,0.31,0.25,0.08
124,0.0,0.02,0.16,0.33,0.29,0.16,0.04
125,0.0,0.06,0.29,0.34,0.21,0.08,0.01
126,0.01,0.08,0.29,0.36,0.2,0.06,0.01
127,0.0,0.02,0.21,0.41,0.26,0.09,0.01
128,0.0,0.02,0.13,0.32,0.32,0.17,0.03
129,0.0,0.07,0.33,0.37,0.17,0.05,0.0
130,0.01,0.07,0.19,0.27,0.24,0.17,0.05
131,0.01,0.22,0.32,0.26,0.14,0.05,0.01
132,0.0,0.04,0.23,0.36,0.26,0.1,0.01
133,0.0,0.03,0.22,0.43,0.25,0.07,0.01
134,0.01,0.06,0.28,0.38,0.21,0.06,0.01
135,0.0,0.03,0.19,0.39,0.29,0.09,0.01
136,0.0,0.04,0.17,0.3,0.27,0.17,0.05
137,0.0,0.02,0.17,0.33,0.28,0.16,0.04
138,0.0,0.01,0.11,0.33,0.25,0.22,0.07
139,0.0,0.04,0.18,0.32,0.29,0.15,0.02
140,0.0,0.06,0.23,0.37,0.24,0.08,0.01
141,0.0,0.04,0.2,0.34,0.27,0.13,0.02
142,0.0,0.02,0.16,0.39,0.29,0.12,0.01
143,0.0,0.03,0.24,0.38,0.25,0.09,0.01
144,0.0,0.02,0.16,0.39,0.29,0.12,0.02
145,0.03,0.17,0.31,0.29,0.15,0.04,0.0
146,0.0,0.01,0.09,0.29,0.34,0.22,0.05
147,0.0,0.04,0.22,0.39,0.25,0.08,0.01
148,0.01,0.05,0.17,0.31,0.29,0.15,0.03
149,0.0,0.0,0.04,0.17,0.28,0.35,0.15
150,0.0,0.05,0.2,0.33,0.27,0.13,0.02
151,0.01,0.08,0.26,0.33,0.19,0.1,0.02
152,0.0,0.02,0.14,0.42,0.31,0.1,0.01
153,0.0,0.05,0.3,0.38,0.2,0.06,0.01
154,0.0,0.07,0.26,0.32,0.21,0.11,0.02
155,0.0,0.01,0.11,0.36,0.36,0.14,0.01
156,0.0,0.02,0.15,0.24,0.22,0.25,0.13
157,0.0,0.04,0.22,0.32,0.26,0.13,0.02
158,0.02,0.06,0.19,0.29,0.24,0.15,0.04
159,0.0,0.02,0.18,0.39,0.28,0.1,0.02
160,0.0,0.03,0.26,0.41,0.23,0.06,0.01
161,0.0,0.06,0.24,0.36,0.23,0.09,0.02
162,0.0,0.04,0.14,0.22,0.22,0.23,0.15
163,0.0,0.05,0.27,0.38,0.21,0.07,0.01
164,0.0,0.04,0.22,0.37,0.27,0.09,0.01
165,0.0,0.03,0.18,0.39,0.27,0.1,0.02
166,0.0,0.02,0.17,0.41,0.28,0.1,0.02
167,0.0,0.02,0.11,0.32,0.37,0.17,0.02
168,0.0,0.04,0.16,0.26,0.25,0.2,0.08
169,0.0,0.07,0.31,0.38,0.18,0.04,0.0
170,0.01,0.08,0.27,0.27,0.17,0.13,0.07
171,0.0,0.03,0.13,0.35,0.34,0.14,0.02
172,0.0,0.07,0.24,0.35,0.24,0.09,0.01
173,0.01,0.06,0.2,0.27,0.28,0.16,0.03
174,0.01,0.05,0.24,0.35,0.25,0.09,0.01
175,0.0,0.02,0.18,0.36,0.27,0.15,0.03
176,0.0,0.0,0.04,0.25,0.44,0.23,0.04
177,0.01,0.06,0.25,0.36,0.23,0.09,0.01
178,0.0,0.02,0.13,0.27,0.29,0.21,0.07
179,0.0,0.02,0.17,0.38,0.29,0.12,0.01
180,0.0,0.03,0.14,0.33,0.33,0.15,0.02
181,0.0,0.05,0.25,0.41,0.22,0.06,0.01
182,0.0,0.01,0.12,0.28,0.28,0.21,0.09
183,0.0,0.01,0.05,0.22,0.33,0.28,0.1
184,0.0,0.02,0.16,0.31,0.31,0.17,0.03
185,0.0,0.06,0.24,0.35,0.24,0.09,0.01
186,0.0,0.09,0.37,0.34,0.13,0.05,0.01
187,0.0,0.03,0.19,0.39,0.29,0.1,0.01
188,0.0,0.06,0.23,0.35,0.24,0.11,0.02
189,0.0,0.04,0.22,0.41,0.24,0.07,0.01
190,0.0,0.05,0.21,0.33,0.27,0.12,0.02
191,0.0,0.08,0.21,0.31,0.26,0.12,0.02
192,0.0,0.05,0.3,0.38,0.21,0.06,0.01
193,0.01,0.1,0.28,0.32,0.19,0.08,0.02
194,0.0,0.01,0.09,0.27,0.36,0.23,0.04
195,0.0,0.06,0.23,0.35,0.26,0.1,0.01
196,0.0,0.07,0.3,0.38,0.19,0.05,0.01
197,0.0,0.03,0.22,0.38,0.25,0.1,0.02
198,0.02,0.16,0.34,0.29,0.14,0.04,0.01
199,0.0,0.03,0.27,0.38,0.23,0.07,0.01
200,0.01,0.12,0.3,0.32,0.18,0.06,0.01
201,0.0,0.02,0.12,0.28,0.32,0.21,0.05
202,0.0,0.04,0.25,0.41,0.22,0.07,0.01
203,0.0,0.06,0.23,0.33,0.23,0.12,0.03
204,0.0,0.06,0.22,0.35,0.24,0.11,0.02
205,0.0,0.03,0.2,0.4,0.28,0.08,0.01
206,0.0,0.02,0.14,0.35,0.35,0.13,0.01
207,0.0,0.06,0.28,0.39,0.2,0.06,0.01
208,0.0,0.05,0.22,0.35,0.25,0.11,0.01
209,0.01,0.13,0.38,0.32,0.13,0.03,0.0
210,0.0,0.02,0.16,0.37,0.3,0.13,0.02
211,0.0,0.05,0.21,0.32,0.25,0.14,0.03
212,0.0,0.06,0.27,0.34,0.21,0.1,0.02
213,0.0,0.06,0.28,0.36,0.21,0.08,0.01
214,0.0,0.06,0.17,0.33,0.29,0.13,0.02
215,0.0,0.04,0.27,0.38,0.22,0.07,0.01
216,0.0,0.08,0.36,0.33,0.17,0.06,0.01
217,0.0,0.07,0.28,0.34,0.21,0.08,0.01
218,0.0,0.02,0.09,0.25,0.33,0.24,0.06
219,0.0,0.05,0.26,0.35,0.24,0.09,0.01
220,0.0,0.05,0.25,0.37,0.22,0.09,0.02
221,0.01,0.07,0.26,0.36,0.21,0.08,0.01
222,0.01,0.09,0.28,0.34,0.2,0.08,0.01
223,0.01,0.04,0.17,0.28,0.26,0.18,0.06
224,0.0,0.04,0.19,0.33,0.27,0.14,0.03
225,0.0,0.08,0.34,0.35,0.17,0.05,0.01
226,0.0,0.04,0.22,0.37,0.26,0.1,0.01
227,0.0,0.02,0.14,0.32,0.33,0.16,0.02
228,0.0,0.04,0.16,0.29,0.29,0.18,0.04
229,0.01,0.1,0.31,0.34,0.18,0.07,0.01
230,0.0,0.06,0.33,0.38,0.17,0.05,0.01
231,0.0,0.02,0.16,0.37,0.31,0.13,0.02
232,0.0,0.09,0.26,0.32,0.21,0.09,0.01
233,0.0,0.02,0.16,0.38,0.29,0.12,0.02
234,0.01,0.14,0.32,0.3,0.17,0.06,0.01
235,0.0,0.02,0.1,0.3,0.34,0.2,0.04
236,0.0,0.03,0.25,0.39,0.24,0.09,0.01
237,0.0,0.04,0.2,0.35,0.26,0.12,0.02
238,0.0,0.03,0.16,0.26,0.24,0.19,0.12
239,0.06,0.26,0.32,0.22,0.1,0.03,0.0
240,0.01,0.08,0.24,0.33,0.23,0.1,0.01
241,0.01,0.1,0.23,0.29,0.24,0.11,0.02
242,0.0,0.01,0.09,0.26,0.37,0.23,0.03
243,0.0,0.02,0.1,0.25,0.35,0.23,0.04
244,0.0,0.02,0.12,0.27,0.3,0.22,0.07
245,0.0,0.06,0.26,0.36,0.22,0.08,0.01
246,0.01,0.13,0.32,0.31,0.16,0.06,0.01
247,0.0,0.03,0.13,0.29,0.32,0.19,0.04
248,0.0,0.07,0.27,0.34,0.22,0.09,0.01
249,0.01,0.06,0.25,0.34,0.23,0.1,0.01
250,0.02,0.19,0.39,0.28,0.1,0.03,0.0
251,0.0,0.02,0.11,0.3,0.33,0.21,0.04
252,0.0,0.05,0.2,0.34,0.27,0.12,0.02
253,0.0,0.02,0.1,0.19,0.19,0.23,0.26
254,0.01,0.08,0.3,0.36,0.18,0.06,0.01
255,0.0,0.04,0.2,0.35,0.27,0.11,0.02
256,0.0,0.03,0.19,0.4,0.28,0.09,0.01
257,0.01,0.11,0.22,0.25,0.21,0.15,0.05
258,0.0,0.06,0.24,0.35,0.24,0.1,0.01
259,0.01,0.04,0.29,0.42,0.18,0.05,0.01
260,0.01,0.05,0.24,0.36,0.23,0.09,0.01
261,0.0,0.03,0.2,0.33,0.27,0.14,0.02
262,0.01,0.1,0.31,0.34,0.18,0.06,0.01
263,0.02,0.21,0.36,0.26,0.11,0.04,0.01
264,0.01,0.12,0.23,0.26,0.21,0.13,0.04
265,0.0,0.02,0.14,0.31,0.31,0.19,0.04
266,0.0,0.02,0.13,0.33,0.33,0.17,0.03
267,0.0,0.02,0.14,0.32,0.32,0.17,0.03
268,0.0,0.03,0.16,0.31,0.3,0.16,0.03
269,0.0,0.02,0.1,0.24,0.32,0.26,0.06
270,0.01,0.16,0.33,0.28,0.15,0.06,0.01
271,0.01,0.04,0.19,0.27,0.26,0.18,0.05
272,0.0,0.02,0.09,0.26,0.32,0.24,0.08
273,0.0,0.05,0.16,0.24,0.27,0.21,0.06
274,0.0,0.03,0.17,0.3,0.28,0.17,0.04
275,0.01,0.06,0.17,0.22,0.2,0.21,0.14
276,0.01,0.02,0.18,0.44,0.26,0.26,0.09
277,0.0,0.02,0.13,0.31,0.33,0.18,0.03
278,0.0,0.05,0.29,0.36,0.2,0.07,0.01
279,0.01,0.14,0.35,0.31,0.14,0.05,0.01
280,0.01,0.04,0.22,0.35,0.26,0.11,0.02
281,0.0,0.02,0.19,0.36,0.27,0.13,0.02
282,0.02,0.14,0.36,0.3,0.13,0.04,0.0
283,0.0,0.04,0.2,0.33,0.27,0.13,0.02
284,0.0,0.05,0.21,0.32,0.26,0.14,0.03
285,0.01,0.08,0.31,0.34,0.19,0.06,0.01
286,0.01,0.05,0.18,0.3,0.26,0.16,0.03
287,0.01,0.07,0.19,0.22,0.19,0.18,0.15
288,0.01,0.16,0.32,0.3,0.16,0.06,0.01
289,0.0,0.05,0.19,0.33,0.28,0.13,0.02
290,0.01,0.04,0.23,0.36,0.24,0.1,0.01
291,0.01,0.07,0.29,0.35,0.2,0.07,0.01
292,0.01,0.06,0.14,0.18,0.17,0.24,0.2
293,0.0,0.08,0.31,0.34,0.19,0.07,0.01
294,0.01,0.05,0.26,0.37,0.22,0.08,0.01
295,0.01,0.05,0.18,0.31,0.28,0.15,0.02
296,0.01,0.09,0.3,0.34,0.19,0.07,0.01
297,0.01,0.08,0.33,0.34,0.17,0.07,0.01
298,0.01,0.09,0.25,0.29,0.22,0.12,0.03
299,0.01,0.05,0.2,0.35,0.26,0.12,0.02
300,0.01,0.08,0.29,0.34,0.19,0.08,0.01
301,0.01,0.07,0.26,0.31,0.21,0.11,0.02
302,0.01,0.02,0.17,0.35,0.3,0.13,0.02
303,0.01,0.08,0.3,0.36,0.18,0.06,0.01
304,0.01,0.09,0.33,0.33,0.16,0.07,0.01
305,0.01,0.05,0.26,0.34,0.22,0.1,0.02
306,0.01,0.02,0.1,0.29,0.33,0.21,0.04
307,0.01,0.06,0.21,0.32,0.25,0.12,0.02
308,0.01,0.05,0.16,0.24,0.25,0.22,0.08
309,0.01,0.14,0.38,0.3,0.12,0.04,0.0
310,0.01,0.09,0.26,0.3,0.21,0.1,0.02
311,0.01,0.04,0.21,0.32,0.26,0.14,0.03
312,0.01,0.01,0.08,0.19,0.31,0.3,0.1
313,0.01,0.03,0.15,0.29,0.27,0.19,0.07
314,0.01,0.06,0.16,0.23,0.24,0.21,0.09
315,0.01,0.04,0.2,0.31,0.26,0.15,0.03
316,0.01,0.06,0.25,0.33,0.22,0.11,0.02
317,0.01,0.06,0.25,0.33,0.22,0.11,0.02
318,0.01,0.06,0.29,0.34,0.21,0.08,0.01
319,0.01,0.07,0.23,0.34,0.24,0.1,0.01
320,0.01,0.04,0.18,0.3,0.28,0.16,0.03
321,0.01,0.08,0.26,0.32,0.21,0.1,0.02
322,0.01,0.05,0.22,0.34,0.25,0.11,0.02
323,0.01,0.1,0.2,0.24,0.24,0.17,0.03
324,0.01,0.03,0.13,0.24,0.3,0.24,0.05
325,0.01,0.03,0.17,0.33,0.27,0.16,0.03
326,0.01,0.04,0.22,0.36,0.25,0.11,0.02
327,0.01,0.1,0.28,0.31,0.19,0.09,0.02
328,0.01,0.07,0.22,0.28,0.25,0.14,0.04
329,0.03,0.13,0.32,0.29,0.16,0.07,0.01
330,0.01,0.13,0.34,0.3,0.15,0.06,0.01
331,0.01,0.1,0.25,0.27,0.19,0.12,0.05
332,0.0,0.02,0.18,0.39,0.27,0.12,0.02
333,0.01,0.07,0.29,0.35,0.2,0.08,0.01
334,0.01,0.04,0.17,0.3,0.27,0.17,0.04
335,0.01,0.09,0.29,0.33,0.19,0.07,0.01
336,0.01,0.04,0.22,0.37,0.24,0.1,0.02
337,0.01,0.06,0.25,0.34,0.23,0.09,0.01
338,0.01,0.01,0.11,0.29,0.33,0.21,0.04
339,0.01,0.05,0.28,0.38,0.2,0.07,0.01
340,0.01,0.03,0.17,0.33,0.29,0.15,0.03
341,0.01,0.08,0.3,0.33,0.19,0.07,0.01
342,0.01,0.08,0.29,0.34,0.2,0.08,0.01
343,0.01,0.16,0.37,0.28,0.12,0.04,0.01
344,0.01,0.02,0.11,0.24,0.31,0.26,0.06
345,0.01,0.08,0.32,0.32,0.18,0.08,0.02
346,0.01,0.09,0.32,0.32,0.18,0.07,0.01
347,0.01,0.09,0.35,0.34,0.16,0.05,0.01
348,0.01,0.04,0.21,0.3,0.24,0.15,0.05
349,0.01,0.02,0.13,0.29,0.31,0.2,0.03
350,0.01,0.04,0.15,0.26,0.29,0.21,0.04
351,0.01,0.09,0.35,0.34,0.16,0.05,0.01
352,0.01,0.04,0.16,0.3,0.3,0.17,0.02
353,0.01,0.03,0.13,0.27,0.3,0.22,0.04
354,0.01,0.05,0.23,0.31,0.24,0.14,0.02
355,0.01,0.03,0.23,0.39,0.24,0.09,0.01
